SAFRA;RISCO_CIDADE_SERASA;SISTEMA;CANAL_PCO_DECISAO;CANAL_PCO_AJUSTADO;OPERACAO;TP_PEDIDO;DECISAO_ANALISE;REASON_CODE;DS_REASON_CODE;IDENTIFICA_NOVA_ARVORE;IDENTIFICA_GRUPO_MODELO;GALHO_ARVORE;SCORE_HVI3;SCORE_BVS;ADICIONAL_G1_BHV;ADICIONAL_REST;ADICIONAL_G4_BHV;ADICIONAL_G5_BHV;ADICIONAL_HVI4;ADICIONAL_G7_BHV;QTD_PROPOSTA;QTD_APROVADOS;QTD_ALTAS;QTD_FTRA_PARC_OVER_30;QTD_ATRS_PARC_OVER_30;QTD_Infer_Conv;QTD_Infer_fl_atrs_parc_over_30
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;AP02;APROVADO EXCECAO MESA;NOVO FLUXO B2C;G7 - PRE PAGO COM DIVIDA;DECISAO SOBERANA;R14;;;;;;;R18;1;1;0;;;0,757649826;0,335854452
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;AP03;APROVADO EXCECAO MESA;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;DECISAO SOBERANA;R14;;R18;;;;;;1;1;1;1;0;0,715511854;0,155872082
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;AP03;APROVADO EXCECAO MESA;NOVO FLUXO B2C;G4 - PRE PAGO SEM DIVIDA;DECISAO SOBERANA;R11;;;COM RESTRITIVOS;;;;;1;1;0;;;0,836832444;0,246859405
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;AP03;APROVADO EXCECAO MESA;NOVO FLUXO B2C;G4 - PRE PAGO SEM DIVIDA;DECISAO SOBERANA;R19;;;;R19;;;;1;1;0;;;0,808068291;0,40086741
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;AP03;APROVADO EXCECAO MESA;NOVO FLUXO B2C;G5 - CLIENTE COM DIVIDA;DECISAO SOBERANA;R15;;;;;R18;;;1;1;0;;;0,560529634;0,193008267
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;AP03;APROVADO EXCECAO MESA;NOVO FLUXO B2C;G5 - CLIENTE COM DIVIDA;DECISAO SOBERANA;R16;;;;;R13;;;1;1;0;;;0,516673585;0,210045662
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;AP03;APROVADO EXCECAO MESA;NOVO FLUXO B2C;G5 - CLIENTE COM DIVIDA;DECISAO SOBERANA;R17;;;;;R07;;;1;1;0;;;0,525230988;0,252132196
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;AP03;APROVADO EXCECAO MESA;NOVO FLUXO B2C;G7 - PRE PAGO COM DIVIDA;DECISAO SOBERANA;R12;;;;;;;R19;1;1;0;;;0,78159987;0,324436151
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;AP03;APROVADO EXCECAO MESA;NOVO FLUXO B2C;G7 - PRE PAGO COM DIVIDA;DECISAO SOBERANA;R14;;;;;;;R17;1;1;0;;;0,757649826;0,335854452
202512;ALTO;AM;DIGITAL;DIGITAL;MOVEL;MR;APROVADO;AP05;APROVADO EXCECAO MESA;NOVO FLUXO B2C;G1 - CLIENTE RELACION BOM;DECISAO SOBERANA;R08;;R13;;;;;;1;1;0;;;0,739148466;0,084203069
