Versão;CLUSTER_GRUPO;CEP_RISCO;DS_MOD_PRC;MOD_PRC;DS_MOD_ADC;MOD_ADC;OFERTA_DIGITAL
V1805;G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R01;15
V1805;G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R02;15
V1805;G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R03;15
V1805;G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R04;15
V1805;G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R05;15
V1805;G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R06;15
V1805;G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R07;15
V1805;G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R08;15
V1805;G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R09;15
V1805;G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R10;15
V1805;G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R11;15
V1805;G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R12;15
V1805;G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R13;15
V1805;G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R14;15
V1805;G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R15;15
V1805;G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R16;15
V1805;G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R17;15
V1805;G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R18;15
V1805;G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R19;15
V1805;G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R20;15
V1805;G1;d. SEM RISCO;HVI3;R01;Restritivos;SEM RESTRITIVOS;15
V1805;G1;d. SEM RISCO;HVI3;R02;Restritivos;SEM RESTRITIVOS;15
V1805;G1;d. SEM RISCO;HVI3;R02;G1 - BHV;R01;15
V1805;G1;d. SEM RISCO;HVI3;R02;G1 - BHV;R02;15
V1805;G1;d. SEM RISCO;HVI3;R02;G1 - BHV;R03;15
V1805;G1;d. SEM RISCO;HVI3;R02;G1 - BHV;R04;15
V1805;G1;d. SEM RISCO;HVI3;R02;G1 - BHV;R05;15
V1805;G1;d. SEM RISCO;HVI3;R02;G1 - BHV;R06;15
V1805;G1;d. SEM RISCO;HVI3;R02;G1 - BHV;R07;15
V1805;G1;d. SEM RISCO;HVI3;R02;G1 - BHV;R08;15
V1805;G1;d. SEM RISCO;HVI3;R02;G1 - BHV;R09;15
V1805;G1;d. SEM RISCO;HVI3;R02;G1 - BHV;R10;15
V1805;G1;d. SEM RISCO;HVI3;R02;G1 - BHV;R11;15
V1805;G1;d. SEM RISCO;HVI3;R02;G1 - BHV;R12;15
V1805;G1;d. SEM RISCO;HVI3;R02;G1 - BHV;R13;15
V1805;G1;d. SEM RISCO;HVI3;R02;G1 - BHV;R14;15
V1805;G1;d. SEM RISCO;HVI3;R02;G1 - BHV;R15;15
V1805;G1;d. SEM RISCO;HVI3;R02;G1 - BHV;R16;15
V1805;G1;d. SEM RISCO;HVI3;R02;G1 - BHV;R17;15
V1805;G1;d. SEM RISCO;HVI3;R02;G1 - BHV;R18;15
