ID_LINHA;SAFRA;SCORE_INTERNO;FAIXA_BUREAU;PORTE_EMPRESA;SETOR;REGIAO;UF;CANAL;PRODUTO;MIX_RISCO;FLAG_RESTRITIVO;CODIGO_VENDEDOR;DIA_SEMANA;TEMPO_ATIVIDADE_MESES;FATURAMENTO_MENSAL;QTD_FUNCIONARIOS;LIMITE_PRE_APROVADO;DECISAO_ANALISE;QTD_PROPOSTA;QTD_ALTAS;QTD_ATRS_OVER_30;QTD_INFER_CONV;QTD_INFER_FL_ATRS
L000001;202509;R03;B2;MEI;SAUDE;SUL;RS;DIGITAL;CARTAO;BAIXO;;V259;TER;37;9741,31;1;4600;APROVADO;1;0;;0,510901;0,011551
L000002;202505;R03;B2;MEDIA;COMERCIO;SUDESTE;RJ;DIGITAL;FINANCIAMENTO;BAIXO;NAO;V203;SAB;89;350251,30;163;161600;APROVADO;5;2;0;2,017127;0,031917
L000003;202512;R09;B5;GRANDE;SERVICOS;SUDESTE;MG;DIGITAL;CARTAO;ALTO;NAO;V057;SEG;263;3262948,34;1414;579700;REPROVADO;10;0;;6,794688;1,106268
L000004;202510;R06;B3;MEDIA;SAUDE;NORDESTE;CE;DIGITAL;CARTAO;MEDIO;NAO;V196;SEG;154;469630,17;105;164300;APROVADO;3;3;0;1,797096;0,060686
L000005;202506;R03;B2;MEI;TECNOLOGIA;SUDESTE;MG;LOJA;CARTAO;BAIXO;NAO;V013;SEG;89;22755,48;1;9500;APROVADO;2;1;0;0,910066;0,008204
L000006;202507;R01;B1;MICRO;SAUDE;SUL;SC;DIGITAL;CAPITAL_GIRO;BAIXO;NAO;V018;TER;12;;6;;APROVADO;2;1;0;0,962409;0,007229
L000007;202506;R01;B1;MEI;COMERCIO;NORDESTE;PE;TELEVENDAS;CAPITAL_GIRO;BAIXO;NAO;V008;SAB;26;3201,74;1;1700;APROVADO;8;2;0;2,567266;0,037426
L000008;202512;R04;B3;MEI;COMERCIO;SUDESTE;SP;DIGITAL;CAPITAL_GIRO;MEDIO;NAO;V276;TER;41;11595,21;1;4600;APROVADO;5;2;0;2,688664;0,053024
L000009;202503;R01;B1;MEI;SERVICOS;SUDESTE;RJ;PARCEIRO;CAPITAL_GIRO;BAIXO;NAO;V013;SEG;15;1907,74;1;1000;APROVADO;5;1;1;1,825543;0,030220
L000010;202503;R03;B2;MICRO;INDUSTRIA;SUDESTE;MG;LOJA;CARTAO;BAIXO;NAO;V004;QUA;95;18738,99;4;8900;APROVADO;5;4;0;2,242692;0,030780
L000011;202508;R07;B3;PEQUENA;INDUSTRIA;SUL;PR;LOJA;CARTAO;ALTO;SIM;V164;TER;22;144700,44;61;42900;REPROVADO;2;0;;1,112829;0,157425
L000012;202503;R05;B4;MEI;SERVICOS;NORDESTE;BA;PARCEIRO;CAPITAL_GIRO;MEDIO;NAO;V045;TER;26;1165,30;1;500;APROVADO;8;3;0;3,774403;0,266033
L000013;202509;R07;B4;PEQUENA;COMERCIO;SUDESTE;RJ;DIGITAL;FINANCIAMENTO;ALTO;NAO;V294;SEG;36;104284,50;51;25100;REPROVADO;1;0;;0,502112;0,037313
L000014;202511;R08;B4;MEI;INDUSTRIA;NORTE;RR;DIGITAL;CARTAO;ALTO;NAO;V004;SEG;21;18377,05;1;4200;REPROVADO;12;0;;8,263091;0,361060
L000015;202505;R04;B2;MICRO;SAUDE;SUDESTE;SP;TELEVENDAS;FINANCIAMENTO;MEDIO;NAO;V349;QUA;27;9572,87;5;3500;APROVADO;4;3;0;1,198218;0,028937
L000016;202506;R07;B4;MEI;COMERCIO;SUDESTE;RJ;DIGITAL;FINANCIAMENTO;ALTO;NAO;V232;DOM;13;28367,55;1;8100;REPROVADO;36;0;;19,270854;0,369136
L000017;202505;R01;B1;MICRO;COMERCIO;SUDESTE;SP;PARCEIRO;CARTAO;BAIXO;NAO;V185;TER;270;37188,97;3;17200;APROVADO;2;2;0;0,924168;0,004458
L000018;202512;R06;B3;MICRO;COMERCIO;SUDESTE;SP;DIGITAL;CARTAO;MEDIO;NAO;V002;DOM;58;105959,07;4;30600;APROVADO;113;66;1;67,914224;2,399048
L000019;202510;R08;B4;GRANDE;COMERCIO;SUDESTE;SP;LOJA;CAPITAL_GIRO;ALTO;NAO;V191;SEX;87;9068207,55;1103;1865400;PENDENTE;3;0;;1,501996;0,210873
L000020;202501;R06;B3;PEQUENA;SERVICOS;SUDESTE;SP;DIGITAL;FINANCIAMENTO;MEDIO;SIM;V074;SEX;37;129738,36;13;39700;REPROVADO;2;0;;0,999737;0,075597
L000021;202507;R04;B2;MEDIA;AGRO;SUL;PR;LOJA;CARTAO;MEDIO;NAO;V082;SEG;191;278066,78;63;124300;APROVADO;15;8;0;7,498937;0,133905
L000022;202510;R01;B1;MEI;SERVICOS;NORTE;AP;TELEVENDAS;CARTAO;BAIXO;NAO;V018;QUI;92;6233,62;1;3300;APROVADO;8;1;0;2,963094;0,023295
L000023;202504;R10;B5;MEDIA;SAUDE;NORDESTE;BA;LOJA;CARTAO;ALTO;NAO;V002;TER;105;773094,69;78;105200;REPROVADO;11;0;;6,503787;1,252753
L000024;202507;R04;B1;MICRO;SAUDE;NORDESTE;AL;PARCEIRO;CARTAO;MEDIO;NAO;V020;SEG;46;17120,21;4;6000;APROVADO;2;1;0;1,024555;0,024596
L000025;202506;R05;B3;MICRO;INDUSTRIA;SUDESTE;SP;LOJA;FINANCIAMENTO;MEDIO;NAO;V008;QUA;35;36641,45;7;14600;APROVADO;2;1;0;0,826624;0,020287
L000026;202503;R07;B4;PEQUENA;INDUSTRIA;SUDESTE;MG;DIGITAL;FINANCIAMENTO;MEDIO;SIM;V014;QUA;21;138740,73;19;38700;REPROVADO;1;0;;0,473707;0,071711
L000027;202510;R02;B1;MEI;SERVICOS;NORDESTE;CE;LOJA;CARTAO;BAIXO;NAO;V013;SEX;20;8910,38;1;4100;APROVADO;1;1;0;0,463532;0,007128
L000028;202504;R04;B3;MEI;SERVICOS;SUL;PR;PARCEIRO;CARTAO;MEDIO;NAO;V116;SEG;25;16684,88;1;6200;APROVADO;1;1;0;0,496942;0,013408
L000029;202504;R02;B1;MICRO;TECNOLOGIA;NORTE;AM;LOJA;CAPITAL_GIRO;BAIXO;NAO;V107;SAB;73;11745,84;5;4800;APROVADO;5;4;0;1,964873;0,019954
L000030;202501;R07;B5;MEI;SAUDE;SUL;RS;DIGITAL;CARTAO;BAIXO;SIM;V029;QUI;36;6668,69;1;2000;REPROVADO;6;0;;3,603544;0,189572
L000031;202505;R02;B1;PEQUENA;SERVICOS;SUDESTE;SP;DIGITAL;CAPITAL_GIRO;BAIXO;NAO;V293;SAB;201;70993,11;20;32900;APROVADO;2;1;0;0,916312;0,004786
L000032;202508;R03;B2;PEQUENA;SERVICOS;SUDESTE;RJ;TELEVENDAS;CAPITAL_GIRO;BAIXO;;V111;SEX;24;223997,69;75;93100;PENDENTE;28;0;;10,573829;0,207646
L000033;202510;R05;B3;MEI;AGRO;CENTRO-OESTE;DF;LOJA;CAPITAL_GIRO;MEDIO;NAO;V009;QUI;26;12539,03;1;4200;APROVADO;20;12;1;8,424589;0,319115
L000034;202512;R02;B1;MEI;INDUSTRIA;NORDESTE;RN;DIGITAL;CARTAO;BAIXO;NAO;V012;TER;30;5974,25;1;3100;APROVADO;1;0;;0,526112;0,007745
L000035;202512;R03;B2;MICRO;COMERCIO;NORDESTE;PE;PARCEIRO;CARTAO;BAIXO;NAO;V217;SEG;29;42011,83;11;19600;APROVADO;1;1;0;0,481066;0,008549
